index,DEPTH,DT,GR,NPHI,PEF,RHOB,WELL
0,188.5,73.6136,4.3,,,,15/9-F-11 B
1,188.6,73.6136,3.801,,,,15/9-F-11 B
2,188.7,73.6136,4.301,,,,15/9-F-11 B
3,188.8,73.6136,4.6,,,,15/9-F-11 B
4,188.9,73.6136,4.599,,,,15/9-F-11 B
5,189.0,73.6136,4.299,,,,15/9-F-11 B
6,189.1,73.6136,3.801,,,,15/9-F-11 B
7,189.2,73.6136,4.101,,,,15/9-F-11 B
8,189.3,73.6136,4.302,,,,15/9-F-11 B
9,189.4,73.6136,5.201,,,,15/9-F-11 B
10,189.5,73.6136,5.699,,,,15/9-F-11 B
11,189.6,73.6136,5.298,,,,15/9-F-11 B
12,189.7,73.6136,4.597,,,,15/9-F-11 B
13,189.8,73.6136,3.503,,,,15/9-F-11 B
14,189.9,73.6136,4.502,,,,15/9-F-11 B
15,190.0,73.6136,5.097,,,,15/9-F-11 B
16,190.1,73.6136,4.1,,,,15/9-F-11 B
17,190.2,73.6136,4.003,,,,15/9-F-11 B
18,190.3,73.6136,5.102,,,,15/9-F-11 B
19,190.4,73.6136,,,,,15/9-F-11 B
20,190.5,73.6136,,,,,15/9-F-11 B
21,190.6,73.6136,,,,,15/9-F-11 B
22,190.7,73.6136,,,,,15/9-F-11 B
23,190.8,73.6136,,,,,15/9-F-11 B
24,190.9,73.6136,,,,,15/9-F-11 B
25,191.0,73.6136,,,,,15/9-F-11 B
26,191.1,73.6136,,,,,15/9-F-11 B
27,191.2,73.6136,,,,,15/9-F-11 B
28,191.3,73.6136,,,,,15/9-F-11 B
29,191.4,73.6136,,,,,15/9-F-11 B
30,191.5,73.6136,,,,,15/9-F-11 B
31,191.6,73.6136,,,,,15/9-F-11 B
32,191.7,73.6136,,,,,15/9-F-11 B
33,191.8,73.6136,,,,,15/9-F-11 B
34,191.9,73.6136,,,,,15/9-F-11 B
35,192.0,73.6136,,,,,15/9-F-11 B
